	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
56	Group_57	3.784019975031211	2.0805243445692883	2.351435705368289	2.463171036204744	3.903870162297129	2.320848938826467	2.987515605493133	3.3938826466916354	2.251560549313358	2.228048272992093
57	Group_58	1.5262711864406784	1.2067796610169497	1.4423728813559324	1.611864406779661	3.059322033898305	1.2720338983050845	1.5423728813559316	1.5635593220338992	1.6644067796610174	1.356497175141243
58	Group_59	2.645622895622896	2.31986531986532	2.8207070707070705	2.3030303030303028	2.404882154882155	2.920033670033669	2.406565656565657	3.616161616161616	2.3846801346801345	2.657687991021324
59	Group_60	2.2494736842105265	1.6294736842105264	2.7178947368421054	2.02	4.005263157894737	2.022105263157895	1.6799999999999995	1.7663157894736845	3.7452631578947377	1.7477192982456138
60	Group_61	4.177835051546392	1.4922680412371134	3.8672680412371134	2.161082474226804	4.994845360824741	1.6713917525773194	2.045103092783505	3.89819587628866	1.7654639175257736	1.6447594501718212
61	Group_62	2.1051546391752582	1.837113402061856	2.562371134020619	1.941752577319587	3.3283505154639177	1.824226804123711	2.01701030927835	2.053092783505156	2.239175257731959	1.9807560137457043
62	Group_63	2.096881959910913	1.425389755011136	1.8140311804008915	4.751670378619153	4.083518930957683	1.4432071269487747	1.7438752783964362	3.269487750556793	1.6514476614699336	1.507795100222717
63	Group_64	3.249546279491833	2.1088929219600727	2.328493647912885	3.706896551724138	3.664246823956443	3.2422867513611617	2.7468239564428307	4.525408348457351	2.378402903811252	2.355414398064126
64	Group_65	5.1	4.885714285714286	5.105714285714287	4.808571428571429	5.054285714285713	4.931428571428572	4.845714285714285	5.057142857142856	4.651428571428573	4.908571428571429
65	Group_66	3.7325396825396826	3.0666666666666664	3.441269841269841	3.569047619047619	4.20952380952381	2.2968253968253967	2.631746031746032	3.808730158730159	3.005555555555555	2.73042328042328
66	Group_67	3.8433609958506234	2.9979253112033195	2.732365145228216	4.829875518672199	3.174273858921162	1.8568464730290453	3.74896265560166	5.005186721991702	2.3371369294605806	2.816735822959889
67	Group_68	4.825641025641026	3.5987179487179493	3.703846153846154	5.179487179487179	4.478205128205127	3.0166666666666666	4.521794871794873	5.262820512820513	3.0935897435897437	3.6303418803418808
68	Group_69	1.3778966131907309	1.1836007130124782	1.4679144385026734	3.605169340463458	2.09536541889483	1.1880570409982172	1.4848484848484842	2.9117647058823533	1.5338680926916233	1.320855614973262
69	Group_70	2.9555288461538463	1.6490384615384617	3.855769230769232	3.787259615384616	4.819711538461538	1.856971153846154	1.891826923076923	3.3341346153846154	2.28125	1.7119391025641026
70	Group_71	2.9769475357710653	2.406200317965024	2.8171701112877585	2.728139904610493	4.112877583465819	2.514308426073132	2.687599364069952	3.100158982511924	3.756756756756758	2.538420773714891
71	Group_72	2.974418604651163	1.9290697674418604	2.0302325581395344	5.263953488372094	4.294186046511627	1.7790697674418607	4.03139534883721	5.094186046511627	1.825581395348837	2.047286821705426
72	Group_73	4.696606786427146	2.6696606786427144	2.2674650698602794	4.901197604790418	4.477045908183633	1.9241516966067864	2.7055888223552893	5.0648702594810375	2.443113772455089	2.473719228210246
73	Group_74	2.970326409495549	2.4985163204747773	4.657270029673591	3.816023738872404	4.017804154302671	3.8887240356083086	1.8916913946587532	3.086053412462908	4.474777448071219	2.433234421364985
74	Group_75	1.8580931263858096	1.297117516629712	1.9013303769401333	2.10310421286031	4.517738359201774	1.4024390243902434	1.5920177383592011	1.919068736141907	1.647450110864746	1.455654101995565
75	Group_76	1.3929738562091507	1.5547385620915035	1.854575163398693	1.5318627450980389	1.9248366013071891	1.4705882352941175	1.3660130718954246	1.6021241830065365	3.237745098039216	1.773148148148148
76	Group_77	4.4111445783132535	2.033132530120482	4.875	2.378012048192771	4.855421686746988	4.528614457831326	1.816265060240964	2.4503012048192767	4.200301204819278	2.01355421686747
77	Group_78	4.5639175257731965	2.109278350515464	2.378350515463918	2.6876288659793817	4.501030927835052	1.9237113402061856	2.3247422680412373	4.542268041237113	3.288659793814433	2.1240549828178694
78	Group_79	4.529644268774702	1.876482213438735	2.239130434782609	4.471343873517787	4.727272727272727	2.2559288537549405	2.190711462450593	3.4199604743083003	2.352766798418972	1.901844532279315
79	Group_80	4.847972972972974	1.9031531531531527	2.088963963963964	3.275900900900901	4.865990990990991	2.121621621621621	3.7060810810810807	4.728603603603603	2.0641891891891886	2.104354354354354
80	Group_81	2.936911487758945	2.256120527306968	2.3587570621468927	2.7306967984934087	2.9726930320150657	1.8700564971751408	3.0197740112994342	4.427495291902072	3.528248587570622	2.512554927809165
81	Group_82	3.005444646098004	2.9573502722323046	3.67967332123412	4.192377495462795	3.4473684210526314	2.7250453720508165	2.9446460980036293	4.549001814882033	3.613430127041743	3.256805807622505
82	Group_83	2.3073022312373226	2.109533468559838	2.9290060851926976	2.702839756592292	2.8032454361054766	3.086206896551724	2.1075050709939145	3.376267748478702	4.203853955375255	2.7136578769438806
83	Group_84	4.364116094986808	3.930079155672823	4.237467018469657	3.6477572559366753	4.439313984168866	2.488126649076517	3.796833773087071	4.692612137203167	3.58311345646438	3.613456464379947
84	Group_85	2.59009009009009	1.5675675675675675	2.192792792792793	2.1207207207207204	3.325225225225225	3.1846846846846844	1.7864864864864858	2.595495495495495	2.3855855855855856	1.87987987987988
85	Group_86	3.317124735729387	2.1617336152219875	3.512684989429176	2.238900634249471	3.416490486257928	4.170190274841438	2.168076109936575	2.47568710359408	3.367864693446089	2.5207892882311485
86	Group_87	4.69344262295082	1.724590163934426	1.609836065573771	5.38688524590164	3.40655737704918	1.2836065573770497	4.373770491803279	5.432786885245902	1.5131147540983612	1.780327868852459
87	Group_88	2.1543062200956937	1.4712918660287082	1.7093301435406705	4.254784688995216	2.753588516746411	1.3074162679425836	3.3815789473684204	4.311004784688995	1.608851674641149	1.6586921850079746
88	Group_89	1.9402985074626875	1.249067164179105	3.2126865671641798	2.122201492537313	3.3507462686567164	1.29570895522388	1.504664179104477	3.455223880597015	1.7276119402985084	1.533271144278607
89	Group_90	4.388535031847134	1.8895966029723992	3.6878980891719744	2.669851380042463	4.883227176220807	2.113588110403397	2.0912951167728235	2.826963906581741	3.817409766454353	1.9196744515215851
90	Group_91	2.116883116883117	1.8482142857142856	3.6534090909090913	2.0876623376623376	2.2946428571428568	1.763798701298701	2.109577922077922	2.9456168831168834	2.3043831168831166	2.144480519480519
91	Group_92	3.227891156462585	1.3273809523809526	1.7712585034013613	1.8486394557823125	3.001700680272109	1.4574829931972788	1.7210884353741491	2.6734693877551017	1.7244897959183685	1.5249433106575965
92	Group_93	2.5854037267080745	2.5781573498964807	2.627846790890269	2.874741200828157	2.7675983436853	2.2846790890269157	2.6371635610766044	2.5548654244306417	2.708592132505176	2.581262939958592
93	Group_94	2.2102689486552567	1.6051344743276283	1.6601466992665035	4.91442542787286	2.984107579462103	1.4107579462102686	2.0012224938875303	5.08679706601467	1.685819070904646	1.7290138549307257
94	Group_95	4.932853717026379	1.598321342925659	3.7374100719424463	4.106714628297361	4.937649880095922	1.9424460431654675	1.979616306954436	4.763788968824939	1.9856115107913663	1.7286171063149478
95	Group_96	4.009515570934257	1.7794117647058822	3.3494809688581317	2.859861591695502	3.23356401384083	1.7716262975778545	2.0129757785467124	4.112456747404845	2.0596885813148798	1.9051326412918108
96	Group_97	5.0272277227722775	1.3948019801980198	1.581683168316832	4.987623762376238	5.150990099009901	1.485148514851485	2.5977722772277225	5.01980198019802	1.4641089108910903	1.5573432343234324
97	Group_98	3.254237288135593	2.973634651600753	2.687382297551789	4.015065913370997	2.9218455743879472	2.775894538606403	2.977401129943502	3.1741996233521657	3.40677966101695	2.835216572504708
98	Group_99	4.582150101419879	1.3407707910750508	1.6125760649087229	2.565922920892495	4.417849898580122	1.4705882352941173	1.8215010141987824	4.159229208924949	1.5740365111561871	1.474306964164976
99	Group_100	3.074539363484087	1.7889447236180904	2.050251256281407	3.877721943048576	4.698492462311558	1.677554438860971	2.414572864321608	4.443048576214405	1.788107202680068	1.869067560022334
